owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,gross_outlay_amount,last_modified_date
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.5,Other personnel compensation,D,M,Families First Coronavirus Response Act,26559.89,-5535.00,25657.12,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.5,Other personnel compensation,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",124927.12,-1164.40,113389.24,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.5,Research and development contracts,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",4752848.00,0.00,24654212.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.5,Other personnel compensation,D,P,Paycheck Protection Program and Health Care Enhancement Act,525022.70,-82448.79,524743.13,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.1,Full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",999536.33,-1607.30,995050.30,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,42.0,Insurance claims and indemnities,D,P,Paycheck Protection Program and Health Care Enhancement Act,12000.00,0.00,12000.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.8,Subsistence and support of persons,D,P,Paycheck Protection Program and Health Care Enhancement Act,0.00,-2043122.00,4145488.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.7,Operation and maintenance of equipment,D,P,Paycheck Protection Program and Health Care Enhancement Act,48751.81,0.00,8892.80,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.2,Other services from non-Federal sources,D,M,Families First Coronavirus Response Act,473010650.05,-5649930.77,467415781.82,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,12.2,Military personnel benefits,D,P,Paycheck Protection Program and Health Care Enhancement Act,50616.67,-243.77,54587.64,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,21.0,Travel and transportation of persons,D,P,Paycheck Protection Program and Health Care Enhancement Act,174345.71,0.00,79829.76,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.3,Other goods and services from Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",8690328494.74,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0001,MAINTENANCE,22.0,Transportation of things,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,1500.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,25.4,Operation and maintenance of facilities,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",191505.85,-1900.00,205158.22,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",418616.72,0.00,119818.29,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0004,EQUIPMENT,25.7,Operation and maintenance of equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,3209.05,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0001,MAINTENANCE,32.0,Land and structures,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",43200.00,0.00,15352.15,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0004,EQUIPMENT,22.0,Transportation of things,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",27363.59,0.00,14203.73,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0001,MAINTENANCE,21.0,Travel and transportation of persons,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",170254.75,-141.38,89379.21,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0360,000,075-X-0360-000,"Primary Health Care, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0360,"Primary Health Care, Health Resources and Services Administration, Health and Human Services",0010,PRIMARY HEALTH CARE (MANDATORY),41.0,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,0.00,-158842.00,134658002.40,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0004,EQUIPMENT,23.3,"Communications, utilities, and miscellaneous charges",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",60000.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0004,EQUIPMENT,25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",46669.77,0.00,30695.47,2021-01-28
